"IVS1_Code","IVS1_Label","ivs_iti4","IVS2_Label","Location","N2SpTFA","NZMGE","NZMGN","NZTM.E","NZTM.N","Island","Is.Code","TFA","TFA.Code","Territorial.Authority","TLA.code","RTO","RTO.code","Region","Region.code","DTS.Frequency..I.","DTS.Frequency..II.","ivs_iti5","RTO_mbiemaps"
140090,"Leigh","ivs_iti4_140090","Leigh","Leigh",9,"2672573","6543809","1762004","5982115","North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,184,167,"ivs_iti5_140090","Auckland RTO"
140160,"Matakana","ivs_iti4_140160","Matakana","Matakana",16,"2664043","6537311","1753490","5975599","North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,83,72,"ivs_iti5_140160","Auckland RTO"
140210,"Tawharanui","ivs_iti4_140210","Tawharanui","Tawharanui",21,"2670659","6534045","1760112","5972348","North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,39,39,"ivs_iti5_140210","Auckland RTO"
140240,"Warkworth","ivs_iti4_140240","Warkworth","Warkworth",24,"2659840","6532019","1749299","5970298","North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,756,477,"ivs_iti5_140240","Auckland RTO"
140250,"Kaipara Flats","ivs_iti4_140250","Kaipara Flats","Kaipara Flats",25,"2648449","6531686","1737911","5969939","North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,22,22,"ivs_iti5_140250","Auckland RTO"
140270,"Snells Beach","ivs_iti4_140270","Snells Beach","Snells Beach",27,"2665597","6530158","1755060","5968450","North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,130,86,"ivs_iti5_140270","Auckland RTO"
140280,"Kawau Island","ivs_iti4_140280","Kawau Island","Kawau Island",28,"2677942","6529724","1767404","5968044","North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,70,70,"ivs_iti5_140280","Auckland RTO"
140350,"Puhoi","ivs_iti4_140350","Puhoi","Puhoi",35,"2659378","6519708","1748865","5957988","North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,63,54,"ivs_iti5_140350","Auckland RTO"
150020,"Shelly Beach","ivs_iti4_150020","Shelly Beach","Shelly Beach",2,"2633696","6513692","1723201","5951918","North",1,"Helensville",15,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,3,3,"ivs_iti5_150020","Auckland RTO"
150060,"Helensville","ivs_iti4_150060","Helensville","Helensville",6,"2640242","6501516","1729771","5939759","North",1,"Helensville",15,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,227,131,"ivs_iti5_150060","Auckland RTO"
150120,"Waimauku","ivs_iti4_150120","Waimauku","Waimauku",12,"2643568","6491805","1733116","5930057","North",1,"Helensville",15,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,25,11,"ivs_iti5_150120","Auckland RTO"
150140,"Kumeu","ivs_iti4_150140","Kumeu","Kumeu",14,"2649606","6490546","1739156","5928810","North",1,"Helensville",15,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,109,57,"ivs_iti5_150140","Auckland RTO"
150160,"Muriwai Beach","ivs_iti4_150160","Muriwai Beach","Muriwai Beach",16,"2636770","6484881","1727598","5923305","North",1,"Helensville",15,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,157,128,"ivs_iti5_150160","Auckland RTO"
160010,"Waiwera","ivs_iti4_160010","Waiwera","Waiwera",1,"2663365","6515860","1752859","5954149","North",1,"Orewa",16,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,130,123,"ivs_iti5_160010","Auckland RTO"
160030,"Orewa","ivs_iti4_160030","Orewa","Orewa",3,"2661643","6511682","1751147","5949968","North",1,"Orewa",16,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,639,444,"ivs_iti5_160030","Auckland RTO"
170500,"Auckland","ivs_iti4_170500","Auckland","Auckland",50,"2667979","6478251","1757551","5916554","North",1,"Auckland",17,"Auckland City",7,"Auckland RTO",2,"Auckland Region",2,22,1,"ivs_iti5_170500","Auckland RTO"
170860,"Piha","ivs_iti4_170860","Piha","Piha",86,"2641356","6470844","1730947","5909096","North",1,"Auckland",17,"Waitakere City",6,"Auckland RTO",2,"Auckland Region",2,140,134,"ivs_iti5_170860","Auckland RTO"
170870,"Kawakawa Bay","ivs_iti4_170870","Kawakawa Bay","Kawakawa Bay",87,"2702296","6470285","1791911","5907867","North",1,"Auckland",17,"Manukau City",8,"Auckland RTO",2,"Auckland Region",2,9,9,"ivs_iti5_170870","Auckland RTO"
171000,"Huia","ivs_iti4_171000","Huia","Huia",100,"2649478","6465881","1739077","5904149","North",1,"Auckland",17,"Waitakere City",6,"Auckland RTO",2,"Auckland Region",2,10,10,"ivs_iti5_171000","Auckland RTO"
171020,"Clevedon","ivs_iti4_171020","Clevedon","Clevedon",102,"2691804","6465512","1781401","5903863","North",1,"Auckland",17,"Manukau City",8,"Auckland RTO",2,"Auckland Region",2,55,42,"ivs_iti5_171020","Auckland RTO"
180100,"Rakino Island","ivs_iti4_180100","Rakino Island","Rakino Island",10,"2684461","6496297","1773995","5934633","North",1,"Oneroa",18,"Auckland City",7,"Auckland RTO",2,"Auckland Region",2,12,12,"ivs_iti5_180100","Auckland RTO"
180230,"Waiheke Island","ivs_iti4_180230","Waiheke Island","Waiheke Island",23,"2695741","6485753","1785298","5924113","North",1,"Oneroa",18,"Auckland City",7,"Auckland RTO",2,"Auckland Region",2,499,395,"ivs_iti5_180230","Auckland RTO"
190260,"Bombay","ivs_iti4_190260","Bombay","Bombay",26,"2686543","6444096","1776181","5882436","North",1,"Pukekohe",19,"Franklin District",10,"Auckland RTO",2,"Auckland Region",2,50,44,"ivs_iti5_190260","Auckland RTO"
190280,"Pukekohe","ivs_iti4_190280","Pukekohe","Pukekohe",28,"2679162","6442583","1768803","5880909","North",1,"Pukekohe",19,"Franklin District",10,"Auckland RTO",2,"Auckland Region",2,820,377,"ivs_iti5_190280","Auckland RTO"
190320,"Waiuku","ivs_iti4_190320","Waiuku","Waiuku",32,"2664011","6437927","1753660","5876225","North",1,"Pukekohe",19,"Franklin District",10,"Auckland RTO",2,"Auckland Region",2,360,185,"ivs_iti5_190320","Auckland RTO"
190350,"Tuakau","ivs_iti4_190350","Tuakau","Tuakau",35,"2682981","6436113","1772634","5874446","North",1,"Pukekohe",19,"Franklin District",10,"Auckland RTO",2,"Waikato Region",3,114,35,"ivs_iti5_190350","Auckland RTO"
190420,"Port Waikato","ivs_iti4_190420","Port Waikato","Port Waikato",42,"2663562","6422642","1753238","5860940","North",1,"Pukekohe",19,"Franklin District",10,"Auckland RTO",2,"Waikato Region",3,72,58,"ivs_iti5_190420","Auckland RTO"
200030,"Port Jackson","ivs_iti4_200030","Port Jackson","Port Jackson",3,"2720038","6521269","1809519","5959684","North",1,"Coromandel",20,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,6,6,"ivs_iti5_200030","Coromandel RTO"
200040,"Port Charles","ivs_iti4_200040","Port Charles","Port Charles",4,"2731021","6517441","1820639","5954583","North",1,"Coromandel",20,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,24,21,"ivs_iti5_200040","Coromandel RTO"
200050,"Waikawau","ivs_iti4_200050","Waikawau","Waikawau",5,"2735622","6508566","1825134","5947015","North",1,"Coromandel",20,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,10,10,"ivs_iti5_200050","Coromandel RTO"
200080,"Colville","ivs_iti4_200080","Colville","Colville",8,"2731928","6504370","1821449","5942810","North",1,"Coromandel",20,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,7,5,"ivs_iti5_200080","Coromandel RTO"
200120,"Kennedy Bay","ivs_iti4_200120","Kennedy Bay","Kennedy Bay",12,"2739815","6499561","1827720","5937864","North",1,"Coromandel",20,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,9,9,"ivs_iti5_200120","Coromandel RTO"
200140,"Coromandel","ivs_iti4_200140","Coromandel","Coromandel",14,"2733884","6491029","1823434","5929470","North",1,"Coromandel",20,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,665,584,"ivs_iti5_200140","Coromandel RTO"
210120,"Kuaotunu","ivs_iti4_210120","Kuaotunu","Kuaotunu",12,"2754245","6494136","1843794","5932623","North",1,"Whitianga",21,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,26,17,"ivs_iti5_210120","Coromandel RTO"
210130,"Matarangi Beach","ivs_iti4_210130","Matarangi Beach","Matarangi Beach",13,"2747681","6493471","1837229","5931943","North",1,"Whitianga",21,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,1,1,"ivs_iti5_210130","Coromandel RTO"
210160,"Whitianga ( Whitianga )","ivs_iti4_210160","Whitianga","Whitianga ( Whitianga )",16,"2750514","6481642","1840089","5920116","North",1,"Whitianga",21,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,495,373,"ivs_iti5_210160","Coromandel RTO"
210180,"Hahei","ivs_iti4_210180","Hahei","Hahei",18,"2759945","6480563","1849526","5919057","North",1,"Whitianga",21,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,124,121,"ivs_iti5_210180","Coromandel RTO"
210190,"Hot Water Beach","ivs_iti4_210190","Hot Water Beach","Hot Water Beach",19,"2762172","6475212","1851765","5913709","North",1,"Whitianga",21,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,32,31,"ivs_iti5_210190","Coromandel RTO"
220020,"Tairua","ivs_iti4_220020","Tairua","Tairua",2,"2763888","6462251","1853509","5900746","North",1,"Tairua",22,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,226,175,"ivs_iti5_220020","Coromandel RTO"
220030,"Pauanui","ivs_iti4_220030","Pauanui","Pauanui",3,"2764919","6461351","1854542","5899848","North",1,"Tairua",22,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,343,317,"ivs_iti5_220030","Coromandel RTO"
230110,"Coromandel Forest Park","ivs_iti4_230110","Coromandel Forest Park","Coromandel Forest Park",11,"2750054","6447039","1839700","5885500","North",1,"Coromandel Forest Park",23,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,NA,NA,"ivs_iti5_230110","Coromandel RTO"
240010,"Te Puru","ivs_iti4_240010","Te Puru","Te Puru",1,"2734351","6458580","1823969","5897014","North",1,"Thames",24,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,11,10,"ivs_iti5_240010","Coromandel RTO"
